t_index   term            df    
600       57yearold       1     
601       58              33    
602       580             1     
603       583             2     
604       584foot         1     
605       58year          1     
606       59              17    
607       591             1     
608       595             1     
609       5foot2          5     
610       5foot8inch      1     
611       5footlong       1     
612       5magnitud       5     
613       5th             24    
614       5yearold        6     
615       6               84    
616       60              74    
617       600             26    
618       6000            2     
619       600acr          1     
620       600th           1     
621       600ton          8     
622       60189           1     
623       609             2     
624       60foot          1     
625       60mile          1     
626       60squaremil     1     
627       61              38    
628       615             1     
629       62              65    
630       620             1     
631       622             1     
632       627             1     
633       62yearold       11    
634       63              46    
635       630             3     
636       64              59    
637       646             5     
638       648             1     
639       64yearold       3     
640       65              27    
641       650             2     
642       650ton          1     
643       651             2     
644       653             1     
645       66              16    
646       660             1     
647       66yearold       4     
648       67              16    
649       672             1     
650       675             3     
651       677             1     
652       67member        1     
653       67yearold       1     
654       68              5     
655       680             1     
656       682             1     
657       683             4     
658       683rd           1     
659       687             1     
660       68yearold       3     
661       69              3     
662       692             3     
663       693             2     
664       6all            1     
665       6love           1     
666       6magnitud       9     
667       6th             1     
668       7               119   
669       70              30    
670       700             13    
671       7000            1     
672       701             1     
673       70200           1     
674       7035190092      1     
675       7036845528      1     
676       70yearold       1     
677       71              1     
678       710             2     
679       711             2     
680       72              7     
681       720             1     
682       726             2     
683       728             1     
684       72yearold       1     
685       730             3     
686       733             3     
687       74              6     
688       740             1     
689       745             1     
690       747             1     
691       75              36    
692       750             6     
693       752             1     
694       7555022         1     
695       75horsepow      1     
696       75yearold       3     
697       76              32    
698       762             1     
699       77              3     
700       7729            1     
701       776             1     
702       777200          1     
703       7777            1     
704       78              6     
705       780             2     
706       784             1     
707       78day           4     
708       79              14    
709       79yearold       2     
710       7foot           1     
711       7th             2     
712       7yearold        1     
713       8               101   
714       80              26    
715       800             15    
716       8003683202      1     
717       8059644767      1     
718       80yearold       2     
719       81              3     
720       815             1     
721       81yearold       3     
722       83              3     
723       830             3     
724       832             1     
725       8320            1     
726       834             2     
727       84              1     
728       845             1     
